PaymentMethod_paymentMethodId,PaymentMethod_paymentMethodTypeId,PaymentMethod_partyId,PaymentMethod_description,PaymentMethod_glAccountId,PaymentMethod_finAccountId,PaymentMethod_fromDate,PaymentMethod_thruDate
CASH_DEPOSIT,MAIN_CASH,100,Cash Deposit,110000,CASH_ONHAND,2007-01-01 05:58:07.000,
CASH_PAYMENT,COUNTER_CASH,100,Cash Payment,110000,CASH_ONHAND,2007-01-01 05:58:07.000,
CASH_DELIVERY,FIN_ACCOUNT,100,Cash Delivery,112000,CASH_ONHAND,2007-01-01 05:58:07.000,
BOB_CHECK,COMPANY_CHECK,100,BoB Cheque,111600,BOB_CHEQUE,2007-01-01 05:58:07.000,
PARTY_CHECK,PERSONAL_CHECK,100,Party Cheque,112000,PARTY_CHEQUE,2007-01-01 05:58:07.000,
COUNTER_RECEIPT,EXT_COD,100,Counter Receipt,111700,CASH_ONHAND,2007-01-01 05:58:07.000,
COUNTER_ISSUE,COUNTER_CASH,100,Counter Issue,111700,CASH_ONHAND,2007-01-01 05:58:07.000,
