GlAccount_parentGlAccountId,GlAccount_glAccountId,GlAccount_accountCode,GlAccount_glAccountClassId,GlAccount_glAccountTypeId,GlAccount_glResourceTypeId,GlAccount_accountName,GlAccount_description,GlAccount_postedBalance
100000,150000,150000,CURRENT_ASSET,PREPAID_EXPENSES,MONEY,PREPAID EXPENSES, DEPOSITS,0
150000,151100,151100,CURRENT_ASSET,CURRENT_ASSET,MONEY,PREPAID INSURANCE,,0
150000,151200,151200,CURRENT_ASSET,CURRENT_ASSET,MONEY,PREPAID RENT,,0
150000,151300,151300,CURRENT_ASSET,CURRENT_ASSET,MONEY,PREPAID INTEREST,,0
150000,152000,152000,CURRENT_ASSET,CURRENT_ASSET,MONEY,DEPOSITS,,0
152000,152300,152300,CURRENT_ASSET,CURRENT_ASSET,MONEY,DEPOSIT - RENT,,0
152000,152900,152900,CURRENT_ASSET,CURRENT_ASSET,MONEY,DEPOSITS - OTHER,,0
150000,153000,153000,CURRENT_ASSET,CURRENT_ASSET,MONEY,OTHER CURRENT ASSETS,,0
100000,160000,160000,LONGTERM_ASSET,FIXED_ASSET,MONEY,LAND AND BUILDING,,0
160000,161000,161000,LONGTERM_ASSET,FIXED_ASSET,MONEY,LAND,,0
160000,162000,162000,LONGTERM_ASSET,FIXED_ASSET,MONEY,BUILDING,,0
160000,163000,163000,LONGTERM_ASSET,FIXED_ASSET,MONEY,LAND IMPROVEMENTS,,0
160000,164000,164000,LONGTERM_ASSET,FIXED_ASSET,MONEY,BUILDING IMPROVEMENTS,,0
160000,165000,165000,LONGTERM_ASSET,FIXED_ASSET,MONEY,LEASEHOLD IMPROVEMENTS,,0
100000,170000,170000,LONGTERM_ASSET,FIXED_ASSET,FINISHED_GOODS,FURNITURE - FIXTURES - EQUIPMENT,,0
170000,171000,171000,LONGTERM_ASSET,FIXED_ASSET,FINISHED_GOODS,FURNITURE - FIXTURES - EQUIPMENT,,0
170000,172000,172000,LONGTERM_ASSET,FIXED_ASSET,FINISHED_GOODS,DATA PROCESSING EQUIPMENT,,0
170000,173000,173000,LONGTERM_ASSET,FIXED_ASSET,FINISHED_GOODS,DATA PROCESSING SOFTWARE,,0
170000,174000,174000,LONGTERM_ASSET,FIXED_ASSET,FINISHED_GOODS,VEHICLES,,0
100000,180000,180000,ACCUM_DEPRECIATION,FIXED_ASSET,MONEY,ACCUMULATED DEPRECIATION,,0
180000,181000,181000,ACCUM_DEPRECIATION,FIXED_ASSET,MONEY,ACCUMULATED DEPRECIATION - BUILDING,,0
180000,182000,182000,ACCUM_DEPRECIATION,FIXED_ASSET,MONEY,ACCUMULATED DEPRECIATION - LAND IMPROVEMENTS,,0
180000,183000,183000,ACCUM_DEPRECIATION,FIXED_ASSET,MONEY,ACCUMULATED DEPRECIATION - BUILDING IMPROVEMENTS,,0
180000,184000,184000,ACCUM_DEPRECIATION,FIXED_ASSET,MONEY,ACCUMULATED DEPRECIATION - LEASEHOLD IMPROVEMENTS,,0
