EmplPositionTypeRate_emplPositionTypeId,EmplPositionTypeRate_rateTypeId,EmplPositionTypeRate_payGradeId,EmplPositionTypeRate_salaryStepSeqId,EmplPositionTypeRate_fromDate,EmplPositionTypeRate_thruDate
FRNTDESKMGR,AVERAGE_PAY_RATE,GradeI,1,2009-11-30 5:15:20.000,
TWNSHPMGR,AVERAGE_PAY_RATE,GradeI,1,2009-11-30 5:15:20.000,
TWNSHPSUPVR,AVERAGE_PAY_RATE,GradeII,2,2009-11-30 5:15:20.000,
ACCNTSOFFCR,AVERAGE_PAY_RATE,GradeI,2,2009-11-30 5:15:20.000,
SRACCNT,AVERAGE_PAY_RATE,GradeII,1,2009-11-30 5:15:20.000,
JRACCNT,AVERAGE_PAY_RATE,GradeII,3,2009-11-30 5:15:20.000,
OFFCLERK,AVERAGE_PAY_RATE,GradeIII,3,2009-11-30 5:15:20.000,
COLLCLERK,AVERAGE_PAY_RATE,GradeIII,3,2009-11-30 5:15:20.000,
LIASONCLERK,AVERAGE_PAY_RATE,GradeIII,3,2009-11-30 5:15:20.000,
